764,9368
549,7320
718,3479
980,3244
104,256
279,4301
613,3469
584,2811
760,2183
350,2940
932,3193
256,2235
672,2952
122,4247
456,1674
959,599
767,6321
330,1493
630,942
261,8170
7,5847
739,3935
644,812
936,3092
84,3866
838,2414
300,9412
531,5727
759,2069
902,7443
930,7658
542,7409
548,10266
937,5152
345,1850
778,1573
627,1493
640,8706
578,2231
442,8532
530,5444
280,6510
943,1117
806,1341
388,5657
688,7636
26,997
587,7358
39,339
273,2089
150,10688
27,460
536,551
595,7321
183,8505
331,3878
534,1164
397,5445
487,4265
679,8202
1,5567
968,3809
707,5562
110,7253
209,7420
580,8529
466,1590
682,9614
953,3555
477,7351
589,1558
571,3573
295,2433
843,6828
421,4659
768,1557
967,2143
98,3428
136,3546
39,5693
301,4460
1,660
485,1250
536,6832
814,6187
956,1354
458,4308
70,8665
362,7995
376,9579
790,2914
321,1744
524,7365
677,1976
481,1057
991,33
972,9372
679,9808
269,6862
53,6302
120,2048
672,3449
830,9060
314,5360
970,3296
994,6556
388,7973
819,5082
872,7699
916,5327
423,9018
317,6510
818,4681
38,3083
425,10397
953,968
737,7737
703,4299
221,393
603,10730
685,1568
678,5534
520,221
444,9070
534,4815
144,10251
349,7776
395,462
521,10334
915,2512
511,8843
829,3276
79,7043
649,6232
111,1045
418,5191
458,5847
945,6726
244,6084
395,513
640,7206
172,5752
352,8307
576,6121
761,982
863,10761
68,4175
128,112
428,2377
614,2733
905,10759
867,2330
499,829
686,3057
193,3169
422,989
481,10352
93,7340
512,331
743,3090
580,7234
854,9453
235,6891
646,6996
486,10840
63,4185
657,4645
873,1982
151,10437
513,5620
251,255
619,891
598,5667
945,4770
835,1417
765,4396
228,5937
691,6542
368,9906
336,9635
268,747
706,5356
682,10205
357,7623
864,5251
638,8733
356,3714
428,8876
293,433
807,9606
785,8405
650,10632
440,2785
799,2700
418,9151
199,9127
9,2057
43,436
754,1407
462,2240
980,1931
544,4361
552,4770
985,3981
379,956
148,2602
557,8449
509,9384
907,10003
832,6324
839,5956
658,8205
162,7204
780,8915
33,3874
792,7894
706,8552
976,6114
532,6312
972,9750
336,2304
984,2035
542,4586
280,7842
692,745
876,10245
233,263
518,3447
737,9747
963,727
456,6125
757,10466
443,9237
96,6889
813,6753
892,4572
869,2437
821,4131
307,9408
361,681
552,3229
80,10442
336,9626
120,3019
555,10317
85,10873
662,5805
949,6816
56,4597
812,4155
819,10232
708,4645
492,9713
674,6600
314,441
10,1498
595,6567
194,3194
706,5550
617,8571
864,6373
448,626
175,4091
586,8223
57,381
340,1576
634,6184
346,10423
109,5699
210,3273
842,8652
623,2033
814,5452
613,3115
846,1029
376,3309
787,5141
88,5028
667,884
412,10453
557,1332
878,3914
376,6061
819,723
580,4777
987,242
30,1008
870,3303
206,2638
482,889
342,5702
790,8949
188,8031
908,7158
685,9022
730,9006
302,5178
654,6303
246,9812
715,1979
860,10516
210,8824
434,10563
270,8847
938,659
75,1308
412,9878
304,9354
951,7250
437,6728
776,189
334,4743
236,3585
386,1449
103,2678
44,4489
215,5923
33,8098
80,1206
975,3201
292,3270
156,3204
493,305
863,8619
556,10649
485,5992
934,537
66,5853
841,1727
913,4088
875,4507
963,898
341,3715
610,5726
207,5009
317,8646
674,843
778,8200
544,6577
395,9084
94,9235
359,4711
127,957
401,2163
859,5659
134,1387
734,9459
225,1925
833,9449
2,9377
23,4358
29,10139
120,9483
659,8760
754,10309
958,6744
47,658
419,5300
60,2543
593,2225
6,4980
818,2030
337,5519
944,8432
878,1564
607,3582
457,8802
369,5166
207,10950
248,10773
600,676
787,316
853,4190
613,8534
38,346
300,7108
857,7792
736,8592
668,10232
103,7376
391,9083
430,7492
488,10452
9,1852
635,7008
521,10804
697,10211
898,8902
200,2747
307,10641
511,10807
174,4282
169,8458
335,10717
641,8490
34,9040
113,298
48,9139
520,10013
284,6034
216,8028
822,8309
588,9185
216,7380
561,9313
663,10756
802,8867
218,8217
454,7656
977,5873
768,2899
782,772
101,246
877,2598
731,1443
582,8516
851,7975
397,5524
972,5547
122,9885
43,2743
854,5675
823,5126
30,10184
76,8361
253,1742
670,4927
267,6244
635,6403
953,9018
390,5691
263,5717
964,2325
183,9759
159,10478
969,5447
739,1614
406,705
512,9802
921,9534
201,6913
336,3078
874,2216
682,7104
353,1157
45,6940
76,4102
632,9954
251,9098
358,35
817,935
325,7845
616,4824
356,3834
274,8242
950,8745
59,8422
320,8782
999,10122
880,3581
274,8925
361,7104
154,1849
591,3345
197,6528
103,8341
254,1711
817,4257
594,6859
947,5649
799,5416
949,614
569,2050
123,4902
989,3069
392,2619
364,2308
162,6171
553,292
596,6313
583,7617
695,8585
454,10467
829,8001
397,10070
234,5495
450,10666
72,6354
147,1999
104,9648
976,3599
914,187
506,9534
323,7932
44,10471
267,7878
394,10403
1000,9924
872,8837
